Sariyaaagi bydidira... Actually Olle Olle kelsa madidare app ban maadi.. I hate tik tok	Kannada
Wish you happy life	Kannada
Yak jana barthilla andre sir yaro loffer nanna maklu YouTube Facebook yella kadenu movie na akidare yellaru elle nodtare heg bartare heli	Kannada
Jay Hind Jay Karnataka Mathe	Kannada
Priya Goudar	other-language
Love from karnataka	Kannada
@tej bangalore yavano ninu le	Kannada
super sir	other-language
Super Guru entha troll Guru Ninangodu Salam Guru	Kannada
super guru yellidde guru	Kannada
Idu charitre shrutiso avataran#ASN	Kannada
Fan war shuru madbeda guru	Kannada
Love from hyderabad	other-language
What does sanvi mean	other-language
Guru nam indiadalli	Kannada
Super bro ninu	Kannada
@Raghul yes. In amazon prime video	other-language
@Creative Kannadiga haa bro...nange seetara ista ...avl videos roast maadbedi plzzz	Kannada
I like this	other-language
Super song guru	Kannada
nim taste gottaythu.. nthaavu dandupalya-5 ge wait maadta idiri alva	Kannada
Super	other-language
@jagadish g dambal the	Kannada
Superb bro uninstalled all Chinese apps all plzzzz	other-language
Super..... Hands up....	other-language
DAGAR IN BAR nAFTER RAKSHIT  HITnn	other-language
Sir e Corona effect mugidmele rerelease maadakaagalva	Kannada
Super nInthaha suspense thriller movies beku namma kannada film industry ge nJAI Hindh JAI Karnataka	Kannada
Super comment guru	Kannada
Ravi Kumar Naidu Ravi Naidu hu	Kannada
@VARAPRASAD K K Darshan sir fan agi ist local agi mathadada	Kannada
god bless you sir	other-language
@Like a Phoenix hm avarige ade helbku kushi padli swalp	Kannada
WHO ARE RAKSHIT SHETTY FAN GIVE ME LIKE . RAKSHIT SHETTY SONG IS FULL OF FIRE .	Kannada
@Bhimrao Naik appu fans support all Kannada films	Kannada
Step ge fans agidivi annoru give like	Kannada
Nin voice super anna continue instalgram rost rost	Kannada
Iddu benki	Kannada
Namma shetty hava shuru	Kannada
. Hindi Ali	other-language
Song is lit	other-language
Big star agbitte u	Kannada
Dagar boobs ogo boddide	Kannada
@Ambrish Mallad nin Amman thullu sulemagne gaandu nayi sulemakla mucchkondiro	Kannada
Super song in Kannada	other-language
