hoo mammokka police vesham aaha anthas	Malayalam
Oru rekshayum illa...kidilam kannu nananjupoyi	Malayalam
Ikka     waiting.........	Malayalam
Raju Ettante Oro Shorttum Ijathi ppwli	Malayalam
Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	Malayalam
Last aa chadi adi.... Uff.        Frm an ettan fan	Malayalam
1 day achu 5 million views kooda varla	Malayalam
heavy mass	Malayalam
I a m a katta mammookka fan	Malayalam
Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	Malayalam
Nte ponno oru raksha Illa Ennaaa Trailer	Malayalam
Mammookka fans like adi. Love u ikka	Malayalam
Dislike adikan keri like adichath njaan mathramaano?	Malayalam
Enada Oru English comment kuda kanom	Malayalam
Oh mass o mass laletta katta waiting....Bgm	Malayalam
Ith powlichu vaariyitte pooku....	Malayalam
7.3k dislike adichavanmaarod onne parayanollu......  OMKV	Malayalam
Malayali friends lalettan padam epdi irukku	Tamil
June 16 Keralakara ilakki marikkum ikka	Malayalam
Ithu  Verum unda alla Machinegun  Nirachum undayulla machinegun	Malayalam
Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	Malayalam
Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	Malayalam
vaada a otta vili athu mathi .athu maathram mathi	Malayalam
Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like	Malayalam
#mamangam uff ijjathi trailer oru rakshem illa poli	Malayalam
Nalla polippan school life kanam katta waiting for you Mammukka	Malayalam
Trailer kande oru pidium illatha aralum	Malayalam
Feeling sad am studying in punjab ivde release aakuvo	Malayalam
Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??	Malayalam
Tamilnadu thala fans sarpakka movie hit panna valthukal	Tamil
Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree	Malayalam
Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	Malayalam
Thirunavayile arenkilum undo  Trailer like cheyan marakanda	Malayalam
INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	Malayalam
movie kandathinu shesham onum kudi trailer kanan vanaver like	Malayalam
Mammoka fans and laletan fans Katta waiting	Malayalam
Eee eid ikka ang edutthu ennu paranjekk	Malayalam
Ahaa hahaha ha.... Nte ponnikkka mutheeee	Malayalam
Fan show set...arokke fan showkk pokunnu und	Malayalam
Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	Malayalam
Ithin dislike addikunavar lokka tholvikallayirkkum	Malayalam
Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum	Malayalam
FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	Malayalam
Feel good movie 2019 le best movie aavum ithu urappu	Malayalam
1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	Malayalam
Mohan Lal Katyâ€™s fans onnn like Chevu Chet daaaa Lal attan	Malayalam
2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	Malayalam
Eante ponnooo romanjam vannu poeonnum parayanilla	Malayalam
Eth oru onnonnara padam aavum enn urappullavar like adi	Malayalam
Surajettan kunjunni mash ayi abhinayichal powlikku.m	Malayalam
Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	Malayalam
Raaza..u Do	Malayalam
Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	Malayalam
Lalettan fans full support und makkaleee......	Malayalam
Keralathinu purathu ninnulla anyaphashakar adi like	Malayalam
All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..	Malayalam
Adhikam hype venda	Malayalam
Ithu kidukkum	Malayalam
am a lalettan fan... but lalettane arum pokendaa... director prithviannuu	Malayalam
Padam 1 st day kaanum athu urappu.	Malayalam
masss effect	Malayalam
Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkumđŸ¤™ full on full power	Malayalam
Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	Malayalam
Costumes Irshad khan Cherukunnuijj Poli mutheeee	Malayalam
Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	Malayalam
aaa last bhakam marana mass #mammookka	Malayalam
mammokka thug life mashup	Malayalam
Big B 2 pole und	Malayalam
LALETTAAA MUTHEE POLICHU	Malayalam
Ee pennu evide poyaalum ithaanallo avastha..	Malayalam
Edhu kondu prethiraj neruthiyal Kollam	Malayalam
Ithipo kadha muzhuvan undalo ithilu ? ?	Malayalam
Mammotiyude look divasam kudunthorum kodi varikayannallo	Malayalam
Last black dress sredhichavar ivide like	Malayalam
Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	Malayalam
Padam pottum ennu urapulavarku evide like adikam	Malayalam
malayala sinimakkoru puthiya charithram pirakkatte !	Malayalam
Koora padam	Malayalam
Superb trailer I have ever seen	other-language
3 millon views 208 k likes	other-language
Ennalum ente Idivettu suguna ninne ithilu kandillalo	Malayalam
Which trailer you like more.  1. #Mamangam  2. #Panipat	other-language
1.33 - 1.40   mammuka rock's đŸ¤˜...	other-language
Oru  mikacha thriling movie aavum	Malayalam
Undakku shesham mammookayude adutha natural movie	Malayalam
Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	Malayalam
Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	Malayalam
apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??	Malayalam
Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	Malayalam
YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa	Malayalam
K G F   DUBLE	other-language
Trailer I'll tannaayy full story uondu	Malayalam
Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	Malayalam
Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam	Malayalam
Rajayude andhya kurbana chollan avan varunuu... #LUCIFER	Malayalam
Malayalam kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu	Malayalam
Annum ennum ennum ikka mass đŸ¤©đŸ¥°	Malayalam
vere level trailer and bgm gopi sunder musical	Malayalam
Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha	Malayalam
PASSING OF THE CROWN 'TRAILER' 1 | KGF Malayalam | Ft. Mohanlal | Nivin Pauly	other-language
E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..	Malayalam
Jelli kettinte trailer bgm pole ind	Malayalam
50 pathu pravasham kandavar adi like	Malayalam
E traileril ntha chekutan undo	Malayalam
any one from nov 2 2k19	other-language
Adh suraj aanenn sound kett maathram kandpidichavar adi like..	Malayalam
17 k view 119 k like 12 k dislike... ???	other-language
mallu students canada arelum? like here	Malayalam
kalakki Kalakki. Onnum parayan illa	Malayalam
Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.	Malayalam
L U C I F E R	Malayalam
Lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke	Malayalam
Vere level of making nd lalettan was awesome	Malayalam
raja solathu tha Saiva ....saivathu mattumtha Dolla..#ikka fans	other-language
M  A  M  A  N  G  A  M	Malayalam
Looks like 2017 malyalam  movie  Y And  english movie Buried	other-language
Next Week china povan irikkana njan ithu kandeche njan povathullu	Malayalam
